0 [0.01, 0.01]
10 [1.720761e-03, 1.535104e-02]
20 [1.823852e-03, 1.850321e-02]
30 [4.971314e-03, 1.897654e-02]
40 [4.173993e-03, 1.860194e-02]
50 [3.200747e-03, 1.836264e-02]
60 [3.947649e-03, 1.859411e-02]
70 [3.920028e-03, 1.896219e-02]
80 [3.812067e-03, 1.915239e-02]
90 [3.982648e-03, 1.915232e-02]
100 [3.883125e-03, 1.912326e-02]
110 [3.907439e-03, 1.913901e-02]
120 [3.924743e-03, 1.917150e-02]
130 [3.911659e-03, 1.918642e-02]
140 [3.924396e-03, 1.918994e-02]
150 [3.917475e-03, 1.919945e-02]
160 [3.925100e-03, 1.921512e-02]
170 [3.925857e-03, 1.923064e-02]
180 [3.929295e-03, 1.924495e-02]
190 [3.931600e-03, 1.926025e-02]
200 [3.934629e-03, 1.927665e-02]
210 [3.937443e-03, 1.929324e-02]
220 [3.940192e-03, 1.931000e-02]
230 [3.942939e-03, 1.932736e-02]
240 [3.945642e-03, 1.934538e-02]
250 [3.948234e-03, 1.936406e-02]
260 [3.950688e-03, 1.938356e-02]
270 [3.952953e-03, 1.940414e-02]
280 [3.954988e-03, 1.942609e-02]
290 [3.956798e-03, 1.944990e-02]
300 [3.958646e-03, 1.947644e-02]
310 [3.961504e-03, 1.950710e-02]
320 [3.968373e-03, 1.954404e-02]
330 [3.987059e-03, 1.958907e-02]
340 [4.033685e-03, 1.963792e-02]
350 [4.126160e-03, 1.966268e-02]
360 [4.241245e-03, 1.959253e-02]
370 [4.268903e-03, 1.935890e-02]
380 [4.142970e-03, 1.902613e-02]
390 [3.987731e-03, 1.878907e-02]
400 [3.918930e-03, 1.876956e-02]
410 [3.926821e-03, 1.892307e-02]
420 [3.962171e-03, 1.913901e-02]
430 [3.996635e-03, 1.934066e-02]
440 [4.019525e-03, 1.950156e-02]
450 [4.029299e-03, 1.962879e-02]
460 [4.031546e-03, 1.974414e-02]
470 [4.032875e-03, 1.986572e-02]
480 [4.035545e-03, 1.999920e-02]
490 [4.038027e-03, 2.014138e-02]
500 [4.037916e-03, 2.028731e-02]
510 [4.033926e-03, 2.043438e-02]
520 [4.026349e-03, 2.058258e-02]
530 [4.016173e-03, 2.073259e-02]
540 [4.004185e-03, 2.088429e-02]
550 [3.990885e-03, 2.103678e-02]
560 [3.976881e-03, 2.118904e-02]
570 [3.963009e-03, 2.134029e-02]
580 [3.950223e-03, 2.148985e-02]
590 [3.939453e-03, 2.163709e-02]
600 [3.931534e-03, 2.178138e-02]
610 [3.927129e-03, 2.192213e-02]
620 [3.926652e-03, 2.205881e-02]
630 [3.930269e-03, 2.219101e-02]
640 [3.937841e-03, 2.231848e-02]
650 [4.015180e-03, 2.233132e-02]
660 [3.707155e-03, 2.209817e-02]
670 [3.782972e-03, 2.227070e-02]
680 [3.947999e-03, 2.258256e-02]
690 [4.049129e-03, 2.283732e-02]
700 [4.083305e-03, 2.298077e-02]
710 [4.089007e-03, 2.305777e-02]
720 [4.100817e-03, 2.312844e-02]
730 [4.128935e-03, 2.321870e-02]
740 [4.164602e-03, 2.331938e-02]
750 [4.199016e-03, 2.341207e-02]
760 [4.231714e-03, 2.348590e-02]
770 [4.259431e-03, 2.352476e-02]
780 [4.275020e-03, 2.350144e-02]
790 [4.264479e-03, 2.337858e-02]
800 [4.210457e-03, 2.313278e-02]
810 [4.112154e-03, 2.279446e-02]
820 [3.998462e-03, 2.244769e-02]
830 [3.905243e-03, 2.216938e-02]
840 [3.844709e-03, 2.197858e-02]
850 [3.806319e-03, 2.184875e-02]
860 [3.775739e-03, 2.174778e-02]
870 [3.746469e-03, 2.166038e-02]
880 [3.719205e-03, 2.158592e-02]
890 [3.696412e-03, 2.152767e-02]
900 [3.679131e-03, 2.148642e-02]
910 [3.666885e-03, 2.146017e-02]
920 [3.658720e-03, 2.144619e-02]
930 [3.653935e-03, 2.144242e-02]
940 [3.652149e-03, 2.144755e-02]
950 [3.653063e-03, 2.146053e-02]
960 [3.656322e-03, 2.148023e-02]
970 [3.661525e-03, 2.150544e-02]
980 [3.668266e-03, 2.153488e-02]
990 [3.676145e-03, 2.156731e-02]
1000 [3.684786e-03, 2.160151e-02]
1010 [3.703969e-03, 2.161939e-02]
1020 [3.240165e-03, 2.087551e-02]
1030 [3.302431e-03, 2.081718e-02]
1040 [3.588114e-03, 2.135631e-02]
1050 [3.787484e-03, 2.178543e-02]
1060 [3.816280e-03, 2.188636e-02]
1070 [3.765582e-03, 2.182195e-02]
1080 [3.735199e-03, 2.178461e-02]
1090 [3.738314e-03, 2.180778e-02]
1100 [3.753451e-03, 2.185004e-02]
1110 [3.764078e-03, 2.187943e-02]
1120 [3.767715e-03, 2.189263e-02]
1130 [3.769334e-03, 2.190097e-02]
1140 [3.771987e-03, 2.191106e-02]
1150 [3.775475e-03, 2.192272e-02]
1160 [3.778960e-03, 2.193390e-02]
1170 [3.781935e-03, 2.194361e-02]
1180 [3.784638e-03, 2.195238e-02]
1190 [3.787376e-03, 2.196087e-02]
1200 [3.790234e-03, 2.196931e-02]
1210 [3.793197e-03, 2.197765e-02]
1220 [3.796229e-03, 2.198583e-02]
1230 [3.806929e-03, 2.197838e-02]
1240 [3.219866e-03, 2.098401e-02]
1250 [3.236925e-03, 2.085947e-02]
1260 [3.611548e-03, 2.159661e-02]
1270 [3.876659e-03, 2.212182e-02]
1280 [3.893371e-03, 2.215080e-02]
1290 [3.819273e-03, 2.200755e-02]
1300 [3.794798e-03, 2.196167e-02]
1310 [3.809290e-03, 2.200345e-02]
1320 [3.830532e-03, 2.205286e-02]
1330 [3.836110e-03, 2.206841e-02]
1340 [3.835237e-03, 2.206794e-02]
1350 [3.836812e-03, 2.207126e-02]
1360 [3.842046e-03, 2.208143e-02]
1370 [3.848373e-03, 2.209288e-02]
1380 [3.853848e-03, 2.210196e-02]
1390 [3.858963e-03, 2.210951e-02]
1400 [3.864146e-03, 2.211622e-02]
1410 [3.956228e-03, 2.182968e-02]
1420 [3.238337e-03, 2.055188e-02]
1430 [3.472386e-03, 2.111362e-02]
1440 [3.873450e-03, 2.203558e-02]
1450 [4.015474e-03, 2.233390e-02]
1460 [3.916260e-03, 2.215157e-02]
1470 [3.855924e-03, 2.202715e-02]
1480 [3.866290e-03, 2.205788e-02]
1490 [3.904081e-03, 2.213473e-02]
1500 [3.917640e-03, 2.216234e-02]
1510 [3.918227e-03, 2.215885e-02]
1520 [3.920762e-03, 2.215824e-02]
1530 [3.930060e-03, 2.216974e-02]
1540 [3.940539e-03, 2.218296e-02]
1550 [3.983052e-03, 2.206605e-02]
1560 [2.833777e-03, 2.017348e-02]
1570 [3.251318e-03, 2.074346e-02]
1580 [3.876359e-03, 2.199887e-02]
1590 [4.130259e-03, 2.242678e-02]
1600 [3.991329e-03, 2.215201e-02]
1610 [3.919800e-03, 2.199623e-02]
1620 [3.943766e-03, 2.206130e-02]
1630 [3.998330e-03, 2.217257e-02]
1640 [4.009874e-03, 2.219969e-02]
1650 [4.007193e-03, 2.219070e-02]
1660 [4.011322e-03, 2.219298e-02]
1670 [4.026073e-03, 2.221228e-02]
1680 [4.042660e-03, 2.222499e-02]
1690 [3.998761e-03, 2.119164e-02]
1700 [3.218180e-03, 2.023852e-02]
1710 [3.724764e-03, 2.146077e-02]
1720 [4.166514e-03, 2.240741e-02]
