0 [0.001, 0.01]
10 [8.871284e-05, 9.838541e-03]
20 [3.345977e-04, 9.222372e-03]
30 [3.505528e-04, 9.950095e-03]
40 [2.470656e-04, 1.011948e-02]
50 [1.839137e-04, 1.030747e-02]
60 [1.633617e-04, 1.050809e-02]
70 [1.536430e-04, 1.049518e-02]
80 [1.475982e-04, 1.052648e-02]
90 [1.372058e-04, 1.052934e-02]
100 [1.264015e-04, 1.053666e-02]
110 [1.216521e-04, 1.055759e-02]
120 [1.232518e-04, 1.057114e-02]
130 [1.258085e-04, 1.059364e-02]
140 [1.252397e-04, 1.061502e-02]
150 [1.237854e-04, 1.063925e-02]
160 [1.223520e-04, 1.066128e-02]
170 [1.195235e-04, 1.067519e-02]
180 [1.110516e-04, 1.059527e-02]
190 [9.366141e-05, 1.027184e-02]
200 [8.638113e-05, 1.010879e-02]
210 [8.175703e-05, 1.013525e-02]
220 [7.275050e-05, 1.023729e-02]
230 [6.568554e-05, 1.033311e-02]
240 [6.416397e-05, 1.052872e-02]
250 [6.044518e-05, 1.080662e-02]
260 [5.586592e-05, 1.106922e-02]
270 [5.315559e-05, 1.131739e-02]
280 [5.028165e-05, 1.162132e-02]
290 [4.675199e-05, 1.192843e-02]
300 [4.221120e-05, 1.217958e-02]
310 [3.459045e-05, 1.234533e-02]
320 [3.289116e-05, 1.260510e-02]
330 [2.679023e-05, 1.281182e-02]
340 [2.618928e-05, 1.307009e-02]
350 [2.419707e-05, 1.329492e-02]
360 [2.106350e-05, 1.349152e-02]
370 [1.981638e-05, 1.370814e-02]
380 [1.872891e-05, 1.391880e-02]
390 [1.780659e-05, 1.411537e-02]
400 [1.766180e-05, 1.430808e-02]
410 [1.827513e-05, 1.449326e-02]
420 [1.499872e-05, 1.458387e-02]
430 [1.997778e-05, 1.481106e-02]
440 [2.410152e-05, 1.498278e-02]
450 [2.576602e-05, 1.512885e-02]
460 [2.959355e-05, 1.526042e-02]
470 [3.153605e-05, 1.533600e-02]
480 [3.541572e-05, 1.549588e-02]
490 [3.450514e-05, 1.556799e-02]
500 [4.063323e-05, 1.568358e-02]
510 [4.470424e-05, 1.577724e-02]
520 [4.593655e-05, 1.585776e-02]
530 [5.059857e-05, 1.589563e-02]
540 [4.474673e-05, 1.593461e-02]
550 [5.036690e-05, 1.598286e-02]
560 [5.311281e-05, 1.604752e-02]
570 [5.116156e-05, 1.608381e-02]
580 [4.753390e-05, 1.608405e-02]
590 [5.729126e-05, 1.608827e-02]
600 [5.476582e-05, 1.611504e-02]
610 [5.519563e-05, 1.618237e-02]
620 [5.678456e-05, 1.620372e-02]
630 [5.690564e-05, 1.625863e-02]
640 [5.694669e-05, 1.628623e-02]
650 [5.751001e-05, 1.631138e-02]
660 [5.338170e-05, 1.634028e-02]
670 [6.482250e-05, 1.625906e-02]
680 [5.744314e-05, 1.633662e-02]
690 [5.778215e-05, 1.640043e-02]
700 [5.983901e-05, 1.642788e-02]
710 [6.288751e-05, 1.647426e-02]
720 [6.201470e-05, 1.650348e-02]
730 [6.346016e-05, 1.653297e-02]
740 [6.308068e-05, 1.656576e-02]
